以下被三个反引号包含的是一篇新闻：
```

微信号
qiaokoufabu

功能介绍
政务信息发布，城区形象宣传，便民资讯，公益服务
春风送真情，援助暖民心。昨日上午，硚口区人力资源局联合区总工会、区妇联、区残联、宗关街道办事处和韩家墩街道办事处等单位在泛悦南国西汇广场举办了硚口区“春风行动”专场招聘会。招聘会现场，人声鼎沸，求职者对自己心仪的岗位信息仔细阅读，与企业招聘人员深入交流。据统计，现场共40家企业，提供119个工种、296个岗位。现场还设立了技能培训成果展示区、技能培训报名点、综合招聘专区，以及集政策咨询、职业指导、法律咨询于一体的功能区，引导“新经济”，突出“新职业”，凸显“新技能”，帮助有用工需求的用人单位找到所需人才。对于求职者咨询工作时间、应聘条件、薪资待遇等问题，用工企业为到场求职者提供“一对一”指导服务，“零距离”为求职者答疑解惑。依托多个就业驿站，发挥“连心”作用，以春风行动为抓手，链接辖区企业，硚口区人力资源局将不断创新就业服务方式、拓宽就业服务渠道、丰富就业服务内容，多频次、精匹配开展“家门口”就业服务。下一步，区人资局将持续深化就业创业提质行动，打造更高质量、充分就业场景。为供需双方搭建起政府、企业、社会对接的平台，建立完善就业服务平台和创业服务品牌、零工市场服务平台，尽全力为企业和人才提供便利、保驾护航。来源：区人资局出品：中共硚口区委宣传部  硚口区融媒体中心传播硚口好声音讲述硚口好故事绝美！这片金色花海，谁拍谁好看在硚口，遇见“梨”【夜读】今晚，AI陪读求分享求点赞求在看微信扫一扫关注该公众号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
        * 万圣节
        * 圣诞节
        * 元旦
    * 艺术
        * 书法
        * 乐器
        * 摄影
        * 收藏
        * 曲艺
        * 绘画
        * 舞蹈
        * 设计
        * 雕塑
    * 文化场馆
        * 图书馆
        * 博物馆
        * 档案馆
        * 艺术馆
        * 文化馆
        * 纪念馆
* 休闲娱乐
    * 时尚
    * 影视
        * 明星
        * 电影
        * 电视剧
        * 综艺
        * 晚会
        * 演出
        * 动漫
        * 纪录片
    * 音乐
    * 美食
    * 游戏
        * 电竞
    * 彩票
    * 健身
    * 颜值
    * 搞笑
    * 命理
    * 情感
        * 两性
    * 宠物
    * 小说
* 健康
    * 医疗
        * 预防接种
        * 疫病预防
        * 食品安全
        * 健康保健
        * 疾病
        * 药品
    * 心理
    * 育儿
    * 医美
* 其他

```
这篇新闻涵盖了多个内容，请只对文字描述最多的内容进行分析：
1. 对新闻按照新闻类别表进行分类
2. 只返回文字最多领域的分类
3. 返回格式：'['一级分类', '二级分类', '三级分类']
4. 其中无法分类的级别设为空字符串，如果新闻为空就返回[]。
