以下被三个反引号包含的是一篇新闻：
```

微信号
ldxqxt

功能介绍
天气预报、预警信号、短临预报、雨情信息、气象科普、农用天气预报
要不要春“捂”？为何春天的天气变幻无常，忽冷忽热呢？多变的天气都有哪些？北方大风 春季虽然气压带、风带开始向北移动，但是副热带高压（是温暖的气团）的势力还不是很强。这时，冷气团迅速南下，替代了原来暖气团的位置，所以会使气温骤降，而且常常带来大风。这时的北方大风起兮，它具有大风次数多、范围广、强度大、持续时间长的特点。一般来说，大风频繁的情况在进入4月后才逐渐好转。南方连阴雨相比之下，南方通常是接连几天甚至十几天的阴雨连绵、阳光寡照的寒冷天气，又称低温连阴雨。这是因为冷气团将战线拉得过长，无论是冷气团还是暖气团都不能打败对方，对垒的阵线一直维持在南方地区，造成雨水连绵不绝。强对流天气4月前后，副热带高压增强，副高北部的暖湿气流更为活跃，而北方也不断有弱冷空气南下，冷暖气团交汇频繁。当两者交汇时，由于密度不同，暖气团会有上升运动，冷气团有下沉运动，大气垂直运动较为强烈，易形成雷电、雷暴大风和冰雹等强对流天气。春旱与南方雨水丰沛相比，北方则容易出现春旱。尤其是西北、华北地区。由于太阳直射点北移，使得地表升温迅速，但地表空气只能得到地表的热量，却得不到水汽，因此较为干燥，不易成云致雨。此时暖空气虽然开始活跃，但一般在南方地区活动，难深入到北方地区，不利于北方旱情的缓解。微信扫一扫关注该公众号
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
        * 万圣节
        * 圣诞节
        * 元旦
    * 艺术
        * 书法
        * 乐器
        * 摄影
        * 收藏
        * 曲艺
        * 绘画
        * 舞蹈
        * 设计
        * 雕塑
    * 文化场馆
        * 图书馆
        * 博物馆
        * 档案馆
        * 艺术馆
        * 文化馆
        * 纪念馆
* 休闲娱乐
    * 时尚
    * 影视
        * 明星
        * 电影
        * 电视剧
        * 综艺
        * 晚会
        * 演出
        * 动漫
        * 纪录片
    * 音乐
    * 美食
    * 游戏
        * 电竞
    * 彩票
    * 健身
    * 颜值
    * 搞笑
    * 命理
    * 情感
        * 两性
    * 宠物
    * 小说
* 健康
    * 医疗
        * 预防接种
        * 疫病预防
        * 食品安全
        * 健康保健
        * 疾病
        * 药品
    * 心理
    * 育儿
    * 医美
* 其他

```
这篇新闻涵盖了多个内容，请只对文字描述最多的内容进行分析：
1. 对新闻按照新闻类别表进行分类
2. 只返回文字最多领域的分类
3. 返回格式：'['一级分类', '二级分类', '三级分类']
4. 其中无法分类的级别设为空字符串，如果新闻为空就返回[]。
