以下被三个反引号包含的是一篇新闻：
```
登录还没账号？立即注册点击头像快速登录长江日报大武汉客户端3月25日讯（通讯员陈夏　张雅琴）“杨师傅，别紧张，深吸一口气憋住。”近日，肾病患者杨先生在武汉科技大学附属老年病医院的彩超手术室内成功完成肾穿刺活检术。在杨先生深吸气然后屏住呼吸几秒的同时，在精准超声引导下，肾病内科主任医师张李刚手握穿刺枪精准而迅速地工作。每次只用屏住呼吸几秒，不到10分钟，张主任成功取出了一条肾组织顺利完成穿刺取样。随后，张主任告知杨先生：“可以正常呼吸了。”“该活检术创伤小，手术仅需10分钟左右，是目前国内外三甲医院诊疗肾脏病最精准的手段之一，也是诊断肾脏疾病、指导治疗和预后判断的一种重要手段。这一关键步骤的实施，将为杨先生接下来的精准治疗提供重要的病理分型依据。”张李刚介绍，肾穿刺活检又称经皮肾活检，通常是在床边彩超的定位和引导下，采用局部浸润麻醉腰部皮肤，使用专门的肾穿刺活检针穿刺提取少量的肾组织（一般1～2厘米，2条）进行多项病理检查，在明确疾病病理类型、评判病变活动性、指导治疗、判断疗效及评估预后发挥着重要作用。张李刚主任表示，急性肾炎综合征、原发性肾病综合征、无症状性血尿、无症状性蛋白尿等原发性肾脏疾病，以及继发性或遗传性肾脏病，继发性或遗传性肾脏病等在临床无法确定其病因时应及时穿刺，但也并不是所有人都适合做肾穿刺，当出现明显出血倾向、重度高血压、精神病或不配合操作者、孤立肾或小肾是绝对禁止的。【编辑：余丽娜】关注我们微信公众号手机客户端
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
        * 万圣节
        * 圣诞节
        * 元旦
    * 艺术
        * 书法
        * 乐器
        * 摄影
        * 收藏
        * 曲艺
        * 绘画
        * 舞蹈
        * 设计
        * 雕塑
    * 文化场馆
        * 图书馆
        * 博物馆
        * 档案馆
        * 艺术馆
        * 文化馆
        * 纪念馆
* 休闲娱乐
    * 时尚
    * 影视
        * 明星
        * 电影
        * 电视剧
        * 综艺
        * 晚会
        * 演出
        * 动漫
        * 纪录片
    * 音乐
    * 美食
    * 游戏
        * 电竞
    * 彩票
    * 健身
    * 颜值
    * 搞笑
    * 命理
    * 情感
        * 两性
    * 宠物
    * 小说
* 健康
    * 医疗
        * 预防接种
        * 疫病预防
        * 食品安全
        * 健康保健
        * 疾病
        * 药品
    * 心理
    * 育儿
    * 医美
* 其他

```
这篇新闻涵盖了多个内容，请只对文字描述最多的内容进行分析：
1. 对新闻按照新闻类别表进行分类
2. 只返回文字最多领域的分类
3. 返回格式：'['一级分类', '二级分类', '三级分类']
4. 其中无法分类的级别设为空字符串，如果新闻为空就返回[]。
