以下被三个反引号包含的是一篇新闻：
```
著名作家、学者齐邦媛于3月28日凌晨1时逝世，享年100岁。距离她刚刚过完百岁生日，仅仅一个月。1924年2月19日，齐邦媛生于辽宁铁岭，武汉大学外文系毕业，1947年到台湾，1968年赴美国印第安纳大学研究，1969年出任中兴大学新成立之外文系系主任，1988年从台湾大学外文系教授任内退休，受聘为台大荣誉教授迄今。曾任美国圣玛丽学院、旧金山加州州立大学访问教授，德国柏林自由大学客座教授。教学、著作，论述严谨；编选、翻译、出版文学评论多种，对引介西方文学到台湾，将台湾代表性文学作品英译推介至西方世界，卓有贡献。很多人认识齐邦媛，是从一本巨著开始——《巨流河》。从东北到台湾，一个女人的一生，埋藏了一个世纪的两岸悲伤——这是一部让无数人泪流满面的书。

据说，俞敏洪看完本书痛哭流涕。历时四年，齐邦媛在其80岁时写作完成《巨流河》，其以缜密通透的笔力，从大陆巨流河写到台湾哑口海，以一个奇女子的际遇见证了纵贯百年、横跨两岸的大时代的变迁。书中有两条主线：一是借着父亲齐世英的经历，串联起一代铮铮铁汉们在侵略者炮火下头可抛、血可洒的气概与尊严；一是从自己诞生、童年写起，战火中逃离至重庆，八年间受南开中学与武汉大学教育，受业于名师，得文学启蒙，大学毕业后落脚台湾展开学术事业，成为台湾文学推手。《巨流河》出版之后，齐先生收到数百封来信，几位已90多岁。他们老泪纵横谈当年事，那虽是一个令人悲伤的时代，也是一个令人怀念的有骨气时代。她的学生、著名作家简媜以“一出手，山河震动”来形容此书的份量。因为她所经历的绝不仅仅是个人的命运，还有一个民族的命运，那个让齐邦媛引以为荣，真正存在过的，最有骨气的中国。

《巨流河》节选——身世：我的家在松花江上巨流河是清代称呼辽河的名字，1924年元宵节，我生在辽宁铁岭。那个年代初生婴儿的夭折率很高，我先天体弱，快满周岁时有一回高烧不退，眼看要断气了。祖母差家里的长工连夜到十里外的镇上，找到一位医生将我救活。母亲对医生说：“孩子爸爸在德国念书，还没有给她取名字。”于是这位医生为我取名“邦媛”。铁岭齐家算是中等大户，祖父齐鹏大在奉军里做到旅长，对张作霖忠心耿耿。父亲齐世英却是个读书人，十八岁考取官费到日本留学，二十二岁又到柏林。母亲裴毓贞和父亲同龄，十九岁嫁到齐家后，便一直恪守妇道，伺候公婆，抚育儿女，十年不出家门。父亲二十六岁归国，在沈阳遇到祖父的好友郭松龄将军，相谈投缘。两人都厌倦了军阀混战，对张作霖治下的东北局势也深感忧虑。1925年11月，郭松龄通电请张作霖停战下野，张不予回复，郭便率军攻打，父亲也参加了郭松龄的“叛军”。郭军一路夺下葫芦岛和锦州，直逼沈阳。那年冬天的巨流河畔，两军对峙三日，郭松龄终于兵败。他不愿骑快马独自逃生，被奉军部队追上，就地枪决。当时父亲逃到新民市的日本领事馆躲避追杀，终于在半年后寻机逃出东北，辗转经朝鲜、日本逃到上海，1926年加入国民党。蒋介石接见他时说：“你不像东北人。”父亲在南京安顿下来后，母亲终于跨出家门，带着我和哥哥前去投奔父亲。幼小的我就在那时告别了巨流河。记得马车出了村口，路旁见一排排秃山，怪石嶙峋。我问母亲：“这叫什么山？”母亲正在前途未卜的惶恐中，随口答道：“鬼哭狼嚎山。”我们出山海关到北平，转津浦铁路，火车走了三天两夜，到达南京下关车站。我看到英俊而陌生的父亲站在月台上，等着迎接他聚少离多的妻儿。我在南京入读鼓楼小学，那是1937年之前的“黄金十年”，城里给我的印象是处处充满希望，我们小学生还去街上贴标语：“不许吐痰”、“振作图强”。父亲在中央政府任职，有一次我上学路上，不小心踩到泥泞里，棉鞋陷住。这时一辆汽车开过来停下，里面坐着我的父亲。他叫司机出来把我的鞋拔出来，然后他们就开车走了。晚上回家，父亲教育我，小孩子不可以坐公务车上学，一则须知公私分明，再则不可以炫耀。我深深地记住了他的名字我哥哥随中山中学由北平迁到南京之后，每个星期六中午会带五六个同学回家。吃过晚饭，他们坐江南铁路的火车回板桥，哥哥在家住一晚。 每星期招待他们吃饭是我母亲的快乐，她觉得每个没有家的东北孩子都是她的孩子。在南迁之后、抗战八年之中，所有中山学生都是没家的孩子，差不多每个人都有凄楚的故事。 

齐邦媛我出去，看到他由梅林走来，穿着一件很大的军雨衣。他走了一半突然站住，说：“邦媛，你怎么一年就长这么大，这么好看了呢。”这是我第一次听到他赞美我，那种心情是忘不了的。他说，部队调防在重庆转机，七点半以前要赶回白市驿机场，只想赶来看我一眼，队友开的吉普车在校门口不熄火地等他。我跟着他往校门走，走了一半，骤雨落下，他拉着我跑到门口范孙楼，在一块屋檐下站住，把我拢进他掩盖全身戎装的大雨衣里，搂着我靠近他的胸膛。隔着军装和皮带，我听见他心跳如鼓声。只有片刻，他松手叫我快回宿舍，说：“我必须走了。”雨中，我看到他半跑步到了门口，上了车，疾驰而去。今生，我未再见他一面。生前死后只盼望你一生幸福太平洋的英美盟军已渐占上风，转守为攻。我却许久没有收到张大飞的信了，那寄自奇怪地名的浅蓝信纸的信，像神迹一样消失了。1945年，盟军在五月二日完全占领了柏林，日本境内也在美空军密集轰炸之下开始疏散，自杀飞机成了他最后最残忍的武器。我国渐渐在广西收复失土，六月十二日战报，日军势孤，湘西会战，我军大胜，歼灭日寇一万余人，正朝桂林进军……

宿舍弥漫着欢欣的气氛，所有人都解开了要撤退去大凉山区的背包，准备大考及暑假回家。合唱团、音乐会、送别会，郊游的活动又开始热烘烘地举办。四月十二日，美国罗斯福总统突然逝世，对中国的冲击很大，有一天朱老师在英诗课突然念了一首美国诗人惠特曼的诗《啊，船长！我的船长！》，追悼他不及见战争胜利。此时读此诗，觉得响亮有力，如鼓声送别。然而不到百日之内，我竟第二次清晰地想起这首诗，刻骨铭心，沉重的，不甘心的哀伤。 我最后一次到水西门外我的河岸是六月初。春天已经过完，岸边的草长得太高，已渐湮没小径。我去那里读哥哥写给我的信，这封信我已经收到两天了，那两页信纸内容也已经背熟，但是我必须找一个地方，好好地想一想…… 哥哥信上说，张大飞在五月十八日豫南会战时掩护友机，殉国于河南信阳上空。他在重庆战报上看到前线的消息，周末回到家收到云南十四航空队寄给他的通知，我们家是张大飞的战时通信地址之一。他留下一封信给我哥哥，一个很大的包裹给我，用美军的帆布军邮袋装着。大约是信件。哥哥说我快放暑假回家之前，最好有个心理准备——他的信里附上了张大飞写给他的信。

张大飞这是一封诀别的信，是一个二十六岁年轻人与他有限的往事告别的信。我虽未能保留至今，但他写的字字句句都烙印我心。 振一： 你收到此信时。我已经死了。八年前和我一起考上航校的七个人都走了。三天前，最后的好友晚上没有回航，我知道下一个就轮到我了。我祷告，我沉思，内心觉得平静。感谢你这些年来给我的友谊。感谢妈妈这些年对我的慈爱关怀，使我在上不着天，下不着地全然的漂泊中有一个可以思念的家。也请你原谅我对邦媛的感情，既拿不起也未早日放下。我请地勤的周先生在我死后，把邦媛这些年写的信妥当地寄回给她。请你们原谅我用这种方式使她悲伤。自从我找到你们在湖南的地址，她代妈妈回我的信，这八年来我写的信是唯一可以寄的家书，她的信是我最大的安慰。我似乎看得见她由瘦小女孩长成少女，那天看到她由南开的操场走来，我竟然在惊讶中脱口而出说出心意，我怎么会终于说我爱她呢?这些年中，我一直告诉自己，只能是兄妹之情。否则，我死了会害她，我活着也是害她。这些年来我们走着多么不同的道路，我这些年只会升空作战，全神贯注天上地下的生死存亡，而她每日在诗书之间，正朝向我祝福的光明之路走去。以我这必死之身，怎能对她说“我爱你”呢?去年暑假前，她说要转学到昆明来靠我近些，我才知道事情严重。爸爸妈妈怎会答应？像我这样朝不保夕、移防不定的人怎能照顾她?我写信力劝她留在四川，好好读书。我现在休假也去喝酒、去跳舞了，我活了二十六岁，这些人生滋味以前全未尝过。从军以来保持身心洁净，一心想在战后去当随军牧师。秋天驻防桂林时，在礼拜堂认识一位和我同年的中学老师，她到云南来找我，圣诞节和我在驻地结婚，我死之后抚恤金一半给我弟弟，请他在胜利后回家乡奉养母亲。请你委婉劝邦媛忘了我吧，我生前死后只盼望她一生幸福。 这一年的大考延后了一些。我于七月六日与许多同学搭船回炎热如火炉的重庆，看到书桌上那个深绿色的军邮袋时，即使妈妈也难于分辨我脸上流的是泪还是汗。种种交纠复杂的情绪在我心中激荡，好似投身入那三江汇合的激流。两天后我才打开那邮包。上面有一封陌生笔迹的信，里面写着：张大飞队长已于五月十八日在河南上空殉职。这一包信，他移防时都随身带着。两个月前他交给我，说有一天他若上去了回不来，请我按这个地址寄给你。我在队上担任修护工作，随着他已经两年，他是很体恤人的好长官，我们都很伤心。从他留在待命室的上装口袋里找到一封你的信。也一并寄上。望你节哀。 他的信封里装了一张折了多次，汗渍斑斑、浅蓝己褪至黄白色的、我在南开高三时写的信，那是一封纯粹的文艺青年的信： 很羡慕你在天空，觉得离上帝比较近。因为在蓝天白云间，没有“死亡的幽谷”……你说那天夜里回航，从云堆里出来，蓦地看到月亮又大又亮就在眼前，飞机似乎要撞上去了，如果你真的撞上了月亮，李白都要妒忌你了……而我现在每天要在教室至少坐八小时，几何那么难，几乎令人生趣全无，幸亏有孟老师的词选，不必只为了考大学活着。今天看高一的同学忙着把被单缝成裙子，要去参加全市运动会的团体舞，那就是我们以前做的事，幼稚得要命。我现在都不敢看课外书了，星期六回家经过时与潮书店门口，我都快步走过，以免受到诱惑…… 这样的信我写了好多年，直到我去乐山读哲学系。对于他，这些信大约像烟酒跳舞对他队友一样，有帮助忘却狰狞现实的用处吧。我从乐山想转学到昆明西南联大去找他时，他急着来信阻止，其中有句说:“你对我的实际生活，知道的愈少愈好，对我“光荣”的实质情况愈模糊愈好。”初读时，我看不懂，以为他“变”了。多年后才全然了解，善良如他，蓦然觉醒，要退回去扮演当年保护者兄长角色虽迟了一些，却阻挡了我陷入困境，实际上仍是保护了我。我那一大包信，他曾仔细地按年份排好，第一封从湖南湘乡永丰镇扶稼堂寄的，小学毕业生的平安家书;最后一封是大学二年级外文系学生写的，已承认自己没有研究哲学的慧根，全心投入雪莱和济慈的浪漫诗情。从阁楼的小窗看满天星辰，听窗外树上鸟鸣布谷，你在哪里?你怎么像神迹般显现挚爱，又突然消失了呢？ 从一九三八年到一九四四年，一个少女在残酷战争中成长的心路历程，详详细细地记录在那一百多封信中，我留在家中柜里那一包他七年间写的更多数量的信，是一个十九岁的青年由流离的困境投身最强烈的战斗的完整自述：我驾驱逐机击落敌机的时候，有时会想：我这样虔诚的基督徒，却这样长年做着杀戮的工作，上帝会怎么裁判呢?他不是说“生命在我，复仇也在我”吗?耶稣说人若打你左脸，你把右脸也给他打吗？但是日本人不但打我的脸，他们杀了我的父亲，摧灭了我的家。将我全国的人在自己的土地上追杀至今。我每在郊区打下他们一架飞机，即可以减少牺牲于炸弹下的多少冤魂…… 这两大包信，放在一起。这一年夏天，我没有力量重看。他的死讯虽在意料中，但来时仍感意外，因而难于印证现实。 日本正式投降时重庆的狂欢，是我漫长一生所仅见。随着广播的声音，愁苦的大地灌满了欢乐，人们丢掉平日的拘谨矜持，在街头互相拥抱，又跳又笑，声嘶力竭地唱着“山川壮丽，国旗飞舞......”黄昏不久，盛大的火炬游行燃亮了所有的街道。我跟着哥哥和表哥们也拿着火把往沙坪坝大街上跑去，左连小龙坎，右接瓷器口，几乎没有一时黑暗的路，人们唱着，喊着，真正是响彻云霄。我跟他们走到南开中学的校门口，校门里范孙楼的灯开着，我想到当年张大飞自操场上向我走来，这一瞬间，我突然感到万声俱灭，再也不能忍受推挤的人群。我一面跑，一面哭着回了家，看到满脸惊讶的妈妈，我说：“我受不了这样的狂欢！”在昏天黑地的恸哭中，我度过了胜利夜。从此之后，我不再提他的名字。我郑重地把他写来的一大叠信和我写去的一大邮袋的信包在一起，与我的书和仅有的几件衣服放在一起。我想，有一天我会坚强起来再好好看看。但是第二年夏天，我意外地由成都直接“复员”回到上海，那些信和一切的痕迹，全留给苦难时代的狂风。它们的命运，在我家日后搬迁岁月中，连想象都难了。——文章摘选自齐邦媛《巨流河》1999年5月，75岁的齐邦媛去南京，偶然在地图上看到，南京有一座抗日航空烈士公墓。她让出租车师傅带自己过去看看。56年后，在这片肃穆的墓园里，她和张大飞再次重逢。隔了半个世纪回望，一个立志“但使龙城飞将在，不教胡马度阴山”的男子，以血肉之身殉国，二十六岁的生命就浓缩到碑上的一行字里。

南京航空烈士墓碑上张大飞的名字2010年10月，齐邦媛的抗战回忆录《巨流河》出版，书中处处流露着对张大飞的思念之情。后来，有导演找上门来要将其拍成电影，但最终都被齐邦媛婉拒。在她看来。外界的很多猜测和解读都是对张大飞和那段纯洁感情的亵渎，她宁愿将其保存在内心深处。她说，“这样做我受不了。在现实里他是个木讷寡言的人，连人生都没想清楚，26岁就死了。他死得那么干净，全心全意的，就是为了报国。我在有生之年，不愿意看到他短促的一生成为一个热闹的电影。

1947夏，齐邦媛从国立武汉大学毕业。时局混乱，毕业以后齐邦媛游离在北京和上海之间，工作也没有着落。最后经过父亲的友人引荐，齐邦媛去台北大学外文系做助教。1947年10月，齐邦媛乘飞机过台湾海峡。父亲当时给她买的是双程票，但她不知自己将埋骨台湾，她更没有想到的是，两年以后，父亲以及举家都迁来台湾。从此，大陆在海的那一边。
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
